date,keyword,interest
2017-08-27,instrumentos musicais,7
2017-09-03,instrumentos musicais,6
2017-09-10,instrumentos musicais,7
2017-09-17,instrumentos musicais,6
2017-09-24,instrumentos musicais,7
2017-10-01,instrumentos musicais,7
2017-10-08,instrumentos musicais,6
2017-10-15,instrumentos musicais,7
2017-10-22,instrumentos musicais,7
2017-10-29,instrumentos musicais,6
2017-11-05,instrumentos musicais,7
2017-11-12,instrumentos musicais,7
2017-11-19,instrumentos musicais,7
2017-11-26,instrumentos musicais,6
2017-12-03,instrumentos musicais,6
2017-12-10,instrumentos musicais,6
2017-12-17,instrumentos musicais,7
2017-12-24,instrumentos musicais,5
2017-12-31,instrumentos musicais,5
2018-01-07,instrumentos musicais,6
2018-01-14,instrumentos musicais,5
2018-01-21,instrumentos musicais,5
2018-01-28,instrumentos musicais,5
2018-02-04,instrumentos musicais,6
2018-02-11,instrumentos musicais,6
2018-02-18,instrumentos musicais,6
2018-02-25,instrumentos musicais,6
2018-03-04,instrumentos musicais,6
2018-03-11,instrumentos musicais,7
2018-03-18,instrumentos musicais,6
2018-03-25,instrumentos musicais,6
2018-04-01,instrumentos musicais,6
2018-04-08,instrumentos musicais,6
2018-04-15,instrumentos musicais,7
2018-04-22,instrumentos musicais,6
2018-04-29,instrumentos musicais,6
2018-05-06,instrumentos musicais,6
2018-05-13,instrumentos musicais,7
2018-05-20,instrumentos musicais,6
