date,keyword,interest
2018-07-15,comprar alimentos,0
2018-07-22,comprar alimentos,0
2018-07-29,comprar alimentos,0
2018-08-05,comprar alimentos,0
2018-08-12,comprar alimentos,0
2018-08-19,comprar alimentos,0
2018-08-26,comprar alimentos,0
2018-09-02,comprar alimentos,0
2018-09-09,comprar alimentos,0
2018-09-16,comprar alimentos,0
2018-09-23,comprar alimentos,0
2018-09-30,comprar alimentos,0
2018-10-07,comprar alimentos,0
2018-10-14,comprar alimentos,0
2018-10-21,comprar alimentos,0
2018-10-28,comprar alimentos,0
2018-11-04,comprar alimentos,0
2018-11-11,comprar alimentos,0
2018-11-18,comprar alimentos,0
2018-11-25,comprar alimentos,0
2018-12-02,comprar alimentos,0
2018-12-09,comprar alimentos,0
2018-12-16,comprar alimentos,0
2018-12-23,comprar alimentos,0
2018-12-30,comprar alimentos,0
2015-12-27,black friday,0
2016-01-03,black friday,0
2016-01-10,black friday,0
2016-01-17,black friday,0
2016-01-24,black friday,0
2016-01-31,black friday,0
2016-02-07,black friday,0
2016-02-14,black friday,0
2016-02-21,black friday,0
2016-02-28,black friday,0
2016-03-06,black friday,0
2016-03-13,black friday,0
2016-03-20,black friday,0
2016-03-27,black friday,0
2016-04-03,black friday,0
2016-04-10,black friday,0
2016-04-17,black friday,0
2016-04-24,black friday,0
2016-05-01,black friday,0
2016-05-08,black friday,0
2016-05-15,black friday,0
2016-05-22,black friday,0
2016-05-29,black friday,0
2016-06-05,black friday,0
2016-06-12,black friday,0
2016-06-19,black friday,0
2016-06-26,black friday,0
2016-07-03,black friday,0
2016-07-10,black friday,0
2016-07-17,black friday,0
2016-07-24,black friday,0
2016-07-31,black friday,0
2016-08-07,black friday,0
2016-08-14,black friday,0
2016-08-21,black friday,0
2016-08-28,black friday,0
2016-09-04,black friday,1
2016-09-11,black friday,1
2016-09-18,black friday,1
2016-09-25,black friday,1
2016-10-02,black friday,1
2016-10-09,black friday,2
2016-10-16,black friday,2
2016-10-23,black friday,4
2016-10-30,black friday,7
2016-11-06,black friday,9
2016-11-13,black friday,12
2016-11-20,black friday,69
2016-11-27,black friday,6
2016-12-04,black friday,1
2016-12-11,black friday,0
2016-12-18,black friday,0
2016-12-25,black friday,0
2017-01-01,black friday,0
2017-01-08,black friday,0
2017-01-15,black friday,0
2017-01-22,black friday,0
2017-01-29,black friday,0
2017-02-05,black friday,0
2017-02-12,black friday,0
2017-02-19,black friday,0
2017-02-26,black friday,0
2017-03-05,black friday,0
2017-03-12,black friday,0
2017-03-19,black friday,0
2017-03-26,black friday,0
2017-04-02,black friday,0
2017-04-09,black friday,0
2017-04-16,black friday,0
2017-04-23,black friday,0
2017-04-30,black friday,0
2017-05-07,black friday,0
2017-05-14,black friday,0
2017-05-21,black friday,0
2017-05-28,black friday,0
2017-06-04,black friday,0
2017-06-11,black friday,0
2017-06-18,black friday,0
2017-06-25,black friday,0
2017-07-02,black friday,0
2017-07-09,black friday,0
2017-07-16,black friday,0
2017-07-23,black friday,0
2017-07-30,black friday,0
2017-08-06,black friday,0
2017-08-13,black friday,0
2017-08-20,black friday,0
2017-08-27,black friday,0
2017-09-03,black friday,1
2017-09-10,black friday,1
2017-09-17,black friday,1
2017-09-24,black friday,1
2017-10-01,black friday,1
2017-10-08,black friday,1
2017-10-15,black friday,2
2017-10-22,black friday,3
2017-10-29,black friday,7
2017-11-05,black friday,10
2017-11-12,black friday,15
2017-11-19,black friday,69
2017-11-26,black friday,6
2017-12-03,black friday,1
2017-12-10,black friday,0
2017-12-17,black friday,0
2017-12-24,black friday,0
2017-12-31,black friday,0
2018-01-07,black friday,0
2018-01-14,black friday,0
2018-01-21,black friday,0
2018-01-28,black friday,0
2018-02-04,black friday,0
2018-02-11,black friday,0
2018-02-18,black friday,0
2018-02-25,black friday,0
2018-03-04,black friday,0
2018-03-11,black friday,0
2018-03-18,black friday,0
2018-03-25,black friday,0
2018-04-01,black friday,0
2018-04-08,black friday,0
2018-04-15,black friday,0
2018-04-22,black friday,0
2018-04-29,black friday,0
2018-05-06,black friday,0
2018-05-13,black friday,0
2018-05-20,black friday,0
2018-05-27,black friday,0
2018-06-03,black friday,0
2018-06-10,black friday,0
2018-06-17,black friday,0
2018-06-24,black friday,0
2018-07-01,black friday,0
2018-07-08,black friday,0
2018-07-15,black friday,0
2018-07-22,black friday,0
2018-07-29,black friday,0
2018-08-05,black friday,0
2018-08-12,black friday,0
2018-08-19,black friday,0
2018-08-26,black friday,1
2018-09-02,black friday,1
2018-09-09,black friday,1
2018-09-16,black friday,1
2018-09-23,black friday,1
2018-09-30,black friday,1
2018-10-07,black friday,2
2018-10-14,black friday,3
2018-10-21,black friday,4
2018-10-28,black friday,8
2018-11-04,black friday,13
2018-11-11,black friday,17
2018-11-18,black friday,72
2018-11-25,black friday,8
2018-12-02,black friday,1
2018-12-09,black friday,0
2018-12-16,black friday,0
2018-12-23,black friday,0
2018-12-30,black friday,0
2015-12-27,entrega mercado,1
2016-01-03,entrega mercado,1
2016-01-10,entrega mercado,1
2016-01-17,entrega mercado,1
2016-01-24,entrega mercado,1
2016-01-31,entrega mercado,1
2016-02-07,entrega mercado,1
2016-02-14,entrega mercado,1
2016-02-21,entrega mercado,1
2016-02-28,entrega mercado,1
2016-03-06,entrega mercado,1
2016-03-13,entrega mercado,1
2016-03-20,entrega mercado,1
2016-03-27,entrega mercado,1
2016-04-03,entrega mercado,1
2016-04-10,entrega mercado,1
2016-04-17,entrega mercado,1
2016-04-24,entrega mercado,1
2016-05-01,entrega mercado,1
2016-05-08,entrega mercado,1
2016-05-15,entrega mercado,1
2016-05-22,entrega mercado,1
2016-05-29,entrega mercado,1
2016-06-05,entrega mercado,1
2016-06-12,entrega mercado,1
2016-06-19,entrega mercado,1
2016-06-26,entrega mercado,1
2016-07-03,entrega mercado,1
2016-07-10,entrega mercado,1
2016-07-17,entrega mercado,1
2016-07-24,entrega mercado,1
2016-07-31,entrega mercado,1
2016-08-07,entrega mercado,1
2016-08-14,entrega mercado,1
2016-08-21,entrega mercado,1
2016-08-28,entrega mercado,1
2016-09-04,entrega mercado,1
2016-09-11,entrega mercado,1
2016-09-18,entrega mercado,1
2016-09-25,entrega mercado,1
2016-10-02,entrega mercado,1
2016-10-09,entrega mercado,1
2016-10-16,entrega mercado,1
2016-10-23,entrega mercado,1
2016-10-30,entrega mercado,1
2016-11-06,entrega mercado,1
2016-11-13,entrega mercado,1
2016-11-20,entrega mercado,1
2016-11-27,entrega mercado,1
2016-12-04,entrega mercado,1
2016-12-11,entrega mercado,1
2016-12-18,entrega mercado,1
2016-12-25,entrega mercado,1
2017-01-01,entrega mercado,1
2017-01-08,entrega mercado,1
2017-01-15,entrega mercado,1
2017-01-22,entrega mercado,1
2017-01-29,entrega mercado,1
2017-02-05,entrega mercado,1
2017-02-12,entrega mercado,1
2017-02-19,entrega mercado,1
2017-02-26,entrega mercado,1
2017-03-05,entrega mercado,1
2017-03-12,entrega mercado,1
2017-03-19,entrega mercado,1
2017-03-26,entrega mercado,1
2017-04-02,entrega mercado,1
2017-04-09,entrega mercado,1
2017-04-16,entrega mercado,1
2017-04-23,entrega mercado,1
2017-04-30,entrega mercado,1
2017-05-07,entrega mercado,1
2017-05-14,entrega mercado,1
2017-05-21,entrega mercado,1
2017-05-28,entrega mercado,1
2017-06-04,entrega mercado,1
2017-06-11,entrega mercado,1
2017-06-18,entrega mercado,1
2017-06-25,entrega mercado,1
2017-07-02,entrega mercado,1
2017-07-09,entrega mercado,1
2017-07-16,entrega mercado,1
2017-07-23,entrega mercado,1
2017-07-30,entrega mercado,1
2017-08-06,entrega mercado,1
2017-08-13,entrega mercado,1
2017-08-20,entrega mercado,1
2017-08-27,entrega mercado,1
2017-09-03,entrega mercado,1
2017-09-10,entrega mercado,1
2017-09-17,entrega mercado,1
2017-09-24,entrega mercado,1
2017-10-01,entrega mercado,2
2017-10-08,entrega mercado,1
2017-10-15,entrega mercado,1
2017-10-22,entrega mercado,1
2017-10-29,entrega mercado,1
2017-11-05,entrega mercado,1
2017-11-12,entrega mercado,1
2017-11-19,entrega mercado,2
2017-11-26,entrega mercado,2
2017-12-03,entrega mercado,2
2017-12-10,entrega mercado,2
2017-12-17,entrega mercado,2
2017-12-24,entrega mercado,1
2017-12-31,entrega mercado,1
2018-01-07,entrega mercado,1
2018-01-14,entrega mercado,1
2018-01-21,entrega mercado,2
2018-01-28,entrega mercado,1
2018-02-04,entrega mercado,1
2018-02-11,entrega mercado,1
2018-02-18,entrega mercado,1
2018-02-25,entrega mercado,2
2018-03-04,entrega mercado,1
2018-03-11,entrega mercado,2
2018-03-18,entrega mercado,1
2018-03-25,entrega mercado,1
2018-04-01,entrega mercado,2
2018-04-08,entrega mercado,1
2018-04-15,entrega mercado,1
2018-04-22,entrega mercado,1
2018-04-29,entrega mercado,1
2018-05-06,entrega mercado,2
2018-05-13,entrega mercado,2
2018-05-20,entrega mercado,1
2018-05-27,entrega mercado,1
2018-06-03,entrega mercado,1
2018-06-10,entrega mercado,1
2018-06-17,entrega mercado,1
2018-06-24,entrega mercado,1
2018-07-01,entrega mercado,1
2018-07-08,entrega mercado,1
2018-07-15,entrega mercado,1
2018-07-22,entrega mercado,1
2018-07-29,entrega mercado,1
2018-08-05,entrega mercado,1
2018-08-12,entrega mercado,1
2018-08-19,entrega mercado,1
2018-08-26,entrega mercado,1
2018-09-02,entrega mercado,1
2018-09-09,entrega mercado,1
2018-09-16,entrega mercado,1
2018-09-23,entrega mercado,1
2018-09-30,entrega mercado,1
2018-10-07,entrega mercado,1
2018-10-14,entrega mercado,2
2018-10-21,entrega mercado,1
2018-10-28,entrega mercado,1
2018-11-04,entrega mercado,1
2018-11-11,entrega mercado,1
